V_COD_ESTA,V_COD_TIPO,V_COD_ANESTA,V_NOM_ESTA,V_COD_CUEN,V_COD_CATE,V_COD_PROV,V_COD_DEP,V_COD_DIST,V_COD_ENTI,V_COD_DRE,N_LON_GRAD,N_LON_MIN,N_LON_SEG,N_LON_SIG,N_LAT_GRAD,N_ALT_MTS,N_LAT_MIN,N_LAT_SEG,N_LAT_SIG,V_COD_COND,V_SUB_ESTA,V_CLAS_ESTA,V_COD_ZONA,V_COD_CUENCA,V_NOM_CUENCA,V_COD_POSTAL,N_MIN_HELADA,N_MAX_HELADA
47262016,M1,47262016,CORA CORA,38,17,,,,SEN,,,,,-73.779170,,"3,200",,,-15.011390,F,A,SUT,,,,,,
4724851A,M1,47243694,NARANJILLO,01,17,,,,SEN,,,,,-77.393280,,882,,,-5.809970,F,A,SUT,,,,,,
47270400,H,47270400,TINGO MARIA,07,22,,,,SEN,,,,,-76.002070,,646,,,-9.296010,F,A,SUT,,,,,,
4723C424,H,4723C424,BOCATOMA ZAMBA,04,18,,,,SEN,,,,,-79.897350,,633,,,-4.664440,F,A,OTT,,,,,,
109085,M,109085,JACAS GRANDE,13,11,,,,SEN,,,,,-76.760420,,"3,273",,,-9.543300,C,C,CON,,,,,,
47209356,O,47209356,PAITA,52,19,,,,IMP,,,,,-81.106110,,2,,,-5.079440,P,A,SUT,,,,,,
472587E0,M1,472587E0,InAPAR,07,21,,,,SEN,,,,,-69.578000,,245,,,-10.955890,F,A,SUT,,,,,,
4723013A,M1,4723013A,EL PORVENIR,01,17,,,,SEN,,,,,-76.318340,,225,,,-6.589230,F,A,SUT,,,,,,
4726158C,M1,4723872E,SICUANI,03,21,,,,SEN,,,,,-71.236690,,"3,534",,,-14.237360,F,A,SUT,,,,,,
47251282,H,4722252C,PUENTE CARRETERA,02,18,,,,SEN,,,,,-69.873810,,"3,812",,,-15.255440,F,A,SUT,,,,,,
47245372,M1,47245372,LIRCAY,08,21,,,,SEN,,,,,-74.718310,,"3,324",,,-12.982030,C,A,SUT,,,,,,
4726F67E,M1,4722C6DE,OLMOS,06,17,,,,SEN,,,,,-79.819110,,120,,,-5.837140,F,A,SUT,,,,,,
472203C0,H,472203C0,LETRAYOC,34,18,,,,SEN,,,,,-75.750280,,"1,020",,,-13.666940,C,A,SUT,,,,,,
4720F6B0,O,4720F6B0,MATARANI,52,19,,,,IMP,,,,,-72.106940,,0,,,-16.997780,P,A,SUT,,,,,,
118012,M,118012,JORGE BASADRE UV,50,20,,,,SEN,,,,,-70.251510,,560,,,-18.027000,F,A,SLI,,,,,,
211408,H,211408,CONDORCERRO,14,18,,,,SEN,,,,,-78.261720,,475,,,-8.657930,F,A,VAI,,,,,,
472364DC,M,472364DC,CARANIA,31,21,,,,SEN,,,,,-75.872150,,"3,840",,,-12.344400,F,A,SUT,,,,,,
47271776,M1,4720453E,SANTA CLOTILDE,02,17,,,,SEN,,,,,-73.679250,,150,,,-2.487570,F,A,SUT,,,,,,
111166,M,RTU10000,CHOCORIARI,,17,,,,COGA,,,,,-72.920570,,415,,,-11.945960,C,A,DAV,,,,,,
472761E6,M1,472761E6,HUARMACA,10,17,,,,SEN,,,,,-79.525440,,"2,171",,,-5.565860,F,A,SUT,,,,,,
214800,H,214800,TICAPAMPA PSI,48,18,,,,ANA,,,,,-70.542630,,"1,093",,,-17.476590,F,A,VAI,,,,,,
113183,M,RTU10015,LA QUINGA,,17,,,,COGA,,,,,-75.722190,,806,,,-13.646760,F,A,DAV,,,,,,
113184,M,PLC0019,HUMAY,,17,,,,COGA,,,,,-75.888760,,425,,,-13.739680,F,A,DAV,,,,,,
